theta,d_theta,-3.0,0.0,3.0
-2.6091,25.3744,-32.566566291445014,-46.549447180053825,-41.61205811595473
-2.6091,27.791,-12.84417223211811,0.0,0.0
-2.6091,30.2076,0.0,0.0,0.0
-2.6091,32.6242,0.0,0.0,0.0
-2.6091,35.0408,0.0,0.0,0.0
-2.6091,37.4575,0.0,0.0,0.0
-2.6091,39.8741,0.0,0.0,0.0
-2.6091,42.2907,0.0,0.0,0.0
-2.6091,44.7073,0.0,0.0,0.0
-2.6091,47.1239,0.0,0.0,0.0
-2.5026,-47.1239,0.0,0.0,0.0
-2.5026,-44.7073,0.0,0.0,0.0
-2.5026,-42.2907,0.0,0.0,0.0
-2.5026,-39.8741,0.0,0.0,0.0
-2.5026,-37.4575,0.0,0.0,0.0
-2.5026,-35.0408,0.0,0.0,0.0
-2.5026,-32.6242,0.0,0.0,0.0
-2.5026,-30.2076,0.0,0.0,0.0
-2.5026,-27.791,0.0,0.0,0.0
-2.5026,-25.3744,-9.87159562488609,0.0,0.0
-2.5026,-22.9578,-1093.3756437277648,-1053.0415357328236,-1117.0864751931254
-2.5026,-20.5412,-1261.342386016738,-1231.3884351057109,-1271.8292212690008
-2.5026,-18.1246,-1371.2033681386142,-1389.2784735602468,-1396.669417872063
-2.5026,-15.708,-1368.9059599646228,-1364.5185493702281,-1365.777746009423
-2.5026,-13.2914,-1395.9363706331271,-1393.1533313953569,-1398.36437807121
-2.5026,-10.8747,-1386.073339919719,-1385.7000030556785,-1398.8881428618051
-2.5026,-8.4581,-1331.8876101347323,-1199.7292327796497,-1369.1063307106872
-2.5026,-6.0415,-1253.3086039495156,-1213.3173041484076,-1211.9075406195664
-2.5026,-3.6249,-1242.2977683979998,-1339.612858955712,-1301.5951681690842
-2.5026,-1.2083,-1312.7672640251683,-1272.6749936656777,-1344.094150000099
-2.5026,1.2083,-1309.7260077479784,-1333.14368298117,-1333.5872601169142
-2.5026,3.6249,-1305.6377443038448,-1298.1948486824087,-1307.8936909538756
-2.5026,6.0415,-1244.9378633714177,-1243.0492799771823,-1242.3391309857664
-2.5026,8.4581,-1126.8437081949207,-1122.7089458638654,-1099.3402538271
-2.5026,10.8747,-1027.9476554552248,-1030.0103097273507,-1024.4473178252047
-2.5026,13.2914,-969.3723053129778,-953.3763027694444,-949.2814395099803
-2.5026,15.708,-857.5817918259697,-858.5800430069454,-856.8844212485421
-2.5026,18.1246,-803.4992841263721,-805.9784667390255,-798.4003591459767
-2.5026,20.5412,-703.6280141795075,-701.5067403819742,-702.6946627882879
-2.5026,22.9578,-494.343904212558,-480.39529399662723,-474.70127571235577
-2.5026,25.3744,-56.348287164566756,-71.13560359468534,-29.71969098122303
-2.5026,27.791,-11.877894974323103,0.0,0.0
-2.5026,30.2076,0.0,0.0,0.0
-2.5026,32.6242,0.0,0.0,0.0
-2.5026,35.0408,0.0,0.0,0.0
-2.5026,37.4575,0.0,0.0,0.0
-2.5026,39.8741,0.0,0.0,0.0
-2.5026,42.2907,0.0,0.0,0.0
-2.5026,44.7073,0.0,0.0,0.0
-2.5026,47.1239,0.0,0.0,0.0
-2.3961,-47.1239,0.0,0.0,0.0
-2.3961,-44.7073,0.0,0.0,0.0
-2.3961,-42.2907,0.0,0.0,0.0
-2.3961,-39.8741,0.0,0.0,0.0
-2.3961,-37.4575,0.0,0.0,0.0
-2.3961,-35.0408,0.0,0.0,0.0
-2.3961,-32.6242,0.0,0.0,0.0
-2.3961,-30.2076,0.0,0.0,0.0
-2.3961,-27.791,0.0,0.0,0.0
-2.3961,-25.3744,-10.102797562556503,0.0,0.0
-2.3961,-22.9578,-1098.9295476601212,-1097.9282834259977,-1107.188040712625
-2.3961,-20.5412,-1269.8045913090675,-1272.6714190792227,-1272.56469635071
-2.3961,-18.1246,-1356.4183577479007,-1376.1689798419884,-1376.5621191913135
-2.3961,-15.708,-1351.5279254031761,-1354.8482075286215,-1353.84957173182
-2.3961,-13.2914,-1370.5458047857003,-1370.691597178415,-1366.5411181270777
-2.3961,-10.8747,-1355.6902614190662,-1359.5323837764329,-1358.1711276362691
-2.3961,-8.4581,-1436.7274334609249,-1253.6538446386073,-1354.303189785231
-2.3961,-6.0415,-1376.6990435935672,-1165.7115397203243,-1344.3388057680331
